step,cumulative_reward,battery_percent,battery_wh,coverage_percent,instant_reward
50,91981.39036560059,96.4517437145172,264.27777777777715,95.0,3464.02783203125
100,191145.7807006836,92.90348742903441,254.5555555555543,100.0,3474.02783203125
150,309935.1696472168,89.35523114355162,244.83333333333144,100.0,-60.97222137451172
200,429392.55908203125,85.80697485806883,235.11111111110858,100.0,3474.02783203125
250,531929.9481964111,82.25871857258603,225.38888888888573,100.0,-50.97222137451172
300,619493.3383636475,78.71046228710324,215.66666666666288,100.0,-50.97222137451172
350,758978.7275924683,75.16220600162045,205.94444444444002,100.0,3464.02783203125
400,896008.1172790527,71.61394971613765,196.22222222221717,100.0,6012.02783203125
450,992326.5076141357,68.06569343065486,186.49999999999432,100.0,7543.02783203125
500,1098474.8974761963,64.51743714517207,176.77777777777146,100.0,3474.02783203125
550,1219847.2863464355,60.969180859689274,167.0555555555486,100.0,6041.02783203125
600,1304735.6753005981,57.42092457420648,157.33333333332575,100.0,-60.97222137451172
650,1448465.0648269653,53.87266828872369,147.6111111111029,100.0,3474.02783203125
700,1513345.4557189941,50.324412003240894,137.88888888888005,100.0,-1660.97216796875
750,1588444.8465270996,46.7761557177581,128.1666666666572,100.0,-50.97222137451172
800,1654364.2372512817,43.227899432275564,118.44444444443505,100.0,-1170.97216796875
850,1739552.6273117065,39.67964314679303,108.7222222222129,100.0,-50.97222137451172
900,1865497.0165176392,36.1313868613105,98.99999999999076,100.0,-878.9722290039062
950,1873932.4078140259,32.583130575827965,89.27777777776862,100.0,728.0277709960938
1000,1824529.7986221313,29.03487429034543,79.55555555554648,100.0,174.02777099609375
1050,1806998.189253807,25.486618004862894,69.83333333332433,100.0,2038.02783203125
1100,1848114.5800771713,21.93836171938036,60.11111111110219,100.0,2364.02783203125
1150,1817524.9706411362,18.390105433897826,50.38888888888005,100.0,174.02777099609375
1200,1882234.360198021,14.841849148415292,40.6666666666579,100.0,-1150.97216796875
1250,1921969.7502202988,11.29359286293276,30.94444444443576,100.0,-50.97222137451172
1300,1939104.1407461166,7.745336577450225,21.222222222213617,100.0,154.02777099609375
1350,1818821.5314321518,4.1970802919676755,11.49999999999143,100.0,-3350.97216796875
1381,1828298.3934926987,1.9971613949684843,274.0,100.0,-1857.97216796875
