sensor_id,position_x,position_y,data_generated,data_transmitted,data_lost,efficiency_percent,buffer_remaining
0,26.18958,291.5281,4619.999999999817,2816.65,803.350000000046,60.96645021645263,1000.0
1,207.10585,209.2787,4619.999999999817,4567.199999999996,0.0,98.85714285714668,52.80000000000046
2,487.00162,48.045055,4619.999999999817,687.5,2932.4999999999945,14.88095238095297,1000.0
3,208.93974,494.90225,4619.999999999817,62.5,3557.4999999999263,1.3528138528139064,1000.0
4,219.90073,422.9351,4619.999999999817,187.5,3432.499999999941,4.058441558441719,1000.0
5,322.76794,391.33102,4619.999999999817,218.75,3401.2499999999445,4.734848484848672,1000.0
6,423.4445,264.0286,4619.999999999817,406.25,3213.7499999999645,8.79329004329039,1000.0
7,412.0542,400.21423,4619.999999999817,31.25,3588.7499999999245,0.6764069264069532,1000.0
8,372.30698,455.2982,4619.999999999817,31.25,3588.7499999999236,0.6764069264069532,1000.0
9,370.03458,12.481909,4619.999999999817,3967.5,83.70000000003643,85.87662337662677,568.8000000000457
10,304.6855,473.58447,4619.999999999817,93.75,3526.249999999931,2.0292207792208594,1000.0
11,154.5677,305.80417,4619.999999999817,2496.15,1126.0500000000707,54.02922077922292,997.8000000000011
12,121.9273,371.83478,4619.999999999817,1062.5,2609.900000000025,22.99783549783641,947.6000000000015
13,400.04263,140.34442,4619.999999999817,2348.75,1484.650000000076,50.8387445887466,786.6000000000047
14,186.74619,2.8459568,4619.999999999817,4604.600000000003,0.0,99.66666666667068,15.399999999999999
15,77.68031,214.80565,4619.999999999817,4613.399999999999,0.0,99.85714285714678,6.6000000000000005
16,386.76236,113.92872,4619.999999999817,4168.2,171.2000000000478,90.22077922078279,280.6000000000201
17,56.188168,13.04792,4619.999999999817,4578.200000000002,0.0,99.09523809524205,41.800000000000004
18,159.28374,363.09683,4619.999999999817,750.0,2870.000000000001,16.233766233766875,1000.0
19,428.322,69.01483,4619.999999999817,2426.7,1356.550000000065,52.5259740259761,836.7500000000177
