model,grid_w,grid_h,n_sensors,start_pos_name,start_x,start_y,seed,total_reward,data_collected,ndr_pct,battery_pct,energy_consumed,efficiency,steps,jains_index,min_collection_rate,mean_collection_rate,starved_sensors,trajectory_file
SmartGreedyV2,200,200,10,random_0,112,121,123,3290389.69,30059.0,100.0,2.0,268.5278,111.9385,1383,1.0,97.61,98.79,0,SmartGreedyV2_200x200_n10_random_0_123.npy
SmartGreedyV2,200,200,10,random_0,112,121,456,3277269.89,29869.0,100.0,2.0,268.5278,111.2311,1381,0.9994,92.53,98.31,0,SmartGreedyV2_200x200_n10_random_0_456.npy
SmartGreedyV2,200,200,10,random_0,112,121,789,3306761.38,30110.0,100.0,2.0,268.5278,112.1294,1401,0.9992,91.02,97.69,0,SmartGreedyV2_200x200_n10_random_0_789.npy
SmartGreedyV2,200,200,10,random_0,112,121,1337,3266713.42,29805.0,100.0,2.0,268.5278,110.9948,1381,0.9995,92.22,98.1,0,SmartGreedyV2_200x200_n10_random_0_1337.npy
SmartGreedyV2,200,200,10,random_1,179,36,42,3002961.22,27616.0,100.0,1.95,268.6667,102.7896,1424,0.9678,51.87,88.15,0,SmartGreedyV2_200x200_n10_random_1_42.npy
SmartGreedyV2,200,200,10,random_1,179,36,123,3190712.51,29101.0,100.0,1.97,268.6111,108.3392,1390,0.9972,84.69,95.16,0,SmartGreedyV2_200x200_n10_random_1_123.npy
SmartGreedyV2,200,200,10,random_1,179,36,456,3298474.79,30142.0,100.0,1.94,268.6944,112.1806,1415,0.9995,93.71,96.83,0,SmartGreedyV2_200x200_n10_random_1_456.npy
SmartGreedyV2,200,200,10,random_1,179,36,789,3057338.07,27924.0,100.0,2.0,268.5278,103.9874,1401,0.9735,55.25,90.6,0,SmartGreedyV2_200x200_n10_random_1_789.npy
SmartGreedyV2,200,200,10,random_1,179,36,1337,2601860.29,24002.0,100.0,1.95,268.6667,89.3386,1384,0.865,18.08,78.83,2,SmartGreedyV2_200x200_n10_random_1_1337.npy
SmartGreedyV2,200,200,10,random_2,137,28,42,3059569.51,28103.0,100.0,1.98,268.5833,104.6327,1423,0.9759,60.89,89.77,0,SmartGreedyV2_200x200_n10_random_2_42.npy
SmartGreedyV2,200,200,10,random_2,137,28,123,3290742.68,30069.0,100.0,1.97,268.6111,111.9434,1390,0.9997,93.96,98.33,0,SmartGreedyV2_200x200_n10_random_2_123.npy
SmartGreedyV2,200,200,10,random_2,137,28,456,3249485.12,29708.0,100.0,1.98,268.5833,110.6087,1393,0.9992,91.66,96.94,0,SmartGreedyV2_200x200_n10_random_2_456.npy
SmartGreedyV2,200,200,10,random_2,137,28,789,3329535.86,30423.0,100.0,1.97,268.6111,113.2615,1404,0.9998,95.0,98.5,0,SmartGreedyV2_200x200_n10_random_2_789.npy
SmartGreedyV2,200,200,10,random_2,137,28,1337,3095159.3,28376.0,100.0,1.94,268.6944,105.6086,1391,0.9805,63.95,92.73,0,SmartGreedyV2_200x200_n10_random_2_1337.npy
SmartGreedyV2,200,200,20,center,100,100,42,5760289.79,52143.0,100.0,1.99,268.5556,194.1628,1384,0.9772,59.87,85.63,0,SmartGreedyV2_200x200_n20_center_42.npy
SmartGreedyV2,200,200,20,center,100,100,123,5552610.42,50462.0,100.0,2.0,268.5278,187.9208,1381,0.9658,50.69,83.05,0,SmartGreedyV2_200x200_n20_center_123.npy
