agent,condition,seed,grid,n_sensors,frac_sf7,frac_sf9,frac_sf11,frac_sf12,hhi,entropy,mean_sf_changes,mean_final_sf,ndr
DQN,200x200/N=20,204,200,20,0.0,0.05,0.25,0.7,0.5549999999999999,1.0762976257251988,0.0,11.6,100.0
Relational RL,200x200/N=20,204,200,20,0.0,0.25,0.55,0.2,0.405,1.4387586809150081,105.6,10.7,100.0
TSP Oracle,200x200/N=20,204,200,20,0.05,0.05,0.3,0.6,0.45499999999999996,1.395461844238322,88.95,11.3,100.0
DQN,200x200/N=20,205,200,20,0.0,0.05,0.35,0.6,0.485,1.188376371734507,0.0,11.5,95.0
Relational RL,200x200/N=20,205,200,20,0.0,0.25,0.4,0.35,0.34500000000000003,1.5588718484453603,115.95,10.85,100.0
TSP Oracle,200x200/N=20,205,200,20,0.05,0.15,0.2,0.6,0.425,1.533206219346495,94.45,11.1,100.0
DQN,200x200/N=20,206,200,20,0.0,0.0,0.25,0.75,0.625,0.8112781244591328,0.0,11.75,100.0
Relational RL,200x200/N=20,206,200,20,0.0,0.05,0.6,0.35,0.485,1.1883763717345073,119.3,11.25,100.0
TSP Oracle,200x200/N=20,206,200,20,0.05,0.15,0.4,0.4,0.3450000000000001,1.6841837197791887,91.45,10.9,100.0
DQN,200x200/N=20,207,200,20,0.0,0.0,0.4,0.6,0.52,0.9709505944546686,0.0,11.6,100.0
Relational RL,200x200/N=20,207,200,20,0.0,0.15,0.6,0.25,0.445,1.3527241956246545,82.55,10.95,100.0
TSP Oracle,200x200/N=20,207,200,20,0.1,0.05,0.7,0.15,0.5249999999999999,1.319035274338866,98.9,10.65,100.0
DQN,200x200/N=20,208,200,20,0.0,0.1,0.2,0.7,0.5399999999999999,1.1567796494470395,0.0,11.5,100.0
Relational RL,200x200/N=20,208,200,20,0.0,0.05,0.55,0.4,0.4650000000000001,1.2192407046368487,108.35,11.3,100.0
TSP Oracle,200x200/N=20,208,200,20,0.05,0.0,0.35,0.6,0.485,1.188376371734507,90.65,11.4,100.0
